file,duplicated_lines,ncloc,complexity,cognitive_complexity,functions
src/components/AcademicYearPicker.jsx,0,142,39,22,15
src/components/pfaComponents/acceptPfaPopUp.jsx,0,114,16,3,11
src/services/AccountServices/account.service.js,0,16,3,1,2
src/services/AccountServices,0,16,3,1,2
src/components/pfaComponents/addPfaPopUp.jsx,0,172,27,14,9
src/components/AddUser/AddStudent.jsx,35,212,19,7,10
src/components/AddUser/AddTeacher.jsx,35,183,17,7,9
src/components/AddUser,70,395,36,14,19
src/components/pfaComponents/adminPage.jsx,0,210,26,7,15
src/pages/adminPeriodsPage/AdminPeriods.jsx,0,132,25,9,13
src/pages/adminPeriodsPage,0,132,25,9,13
src/components/pfaComponents/adminPfaComponent.jsx,0,56,10,3,4
src/components/alerts/Alert.jsx,0,39,10,1,1
src/components/alerts,0,39,10,1,1
src/App.css,0,1,0,0,0
src/App.jsx,0,73,6,3,3
src/components/subjectsComponents/ArchivedSubjects.jsx,0,317,42,16,18
src/services/internshipServices/AssignInternships.service.js,0,46,6,3,3
src/pages/assignInternshipsPage,0,211,23,9,13
src/pages/assignInternshipsPage/AssignInternshipsPage.jsx,0,211,23,9,13
src/components/UniversityYear/AssignTeachersToSubjects.jsx,0,171,28,29,11
src/redux/authSlice.js,0,75,14,5,8
src/services/axiosAPI,0,18,3,1,1
src/services/axiosAPI/axiosInstance.js,0,18,3,1,1
src/components/Breadcrumb.jsx,0,33,3,1,2
src/components/skillsComponents/Card.jsx,0,20,3,2,1
src/components/skillsComponents/CompetenceCard.jsx,0,213,46,20,16
src/components/skillsComponents/CompetenceForm.jsx,0,201,44,36,13
src/components/skillsComponents/CompetenceList.jsx,20,93,11,5,3
src/pages/competenecesPage/OLD/Competences old.jsx,115,249,38,20,19
src/pages/competenecesPage/Competences.jsx,104,248,37,20,19
src/services/CompetencesServices/competences.service.js,0,79,19,11,6
src/services/CompetencesServices,0,79,19,11,6
src/pages/competenecesPage,219,497,75,40,38
src/components,2123,16022,2588,1455,1144
src/services/configs,0,526,16,4,6
src/components/subjectsComponents/CurriculumChapters.jsx,0,60,20,8,5
src/components/CV,0,348,27,7,16
src/components/CV/CVAcademic.css,0,144,0,0,0
src/pages/dashboardPage/Dashboard.jsx,0,10,1,0,1
src/pages/dashboardPage,0,10,1,0,1
src/services/internshipServices/DepositInternship.service.js,0,23,4,2,2
src/pages/depotSujetStagePage/DepotSujetStage.jsx,0,317,34,14,17
src/pages/depotSujetStagePage,0,317,34,14,17
src/pages/EditCV.jsx,0,513,72,15,38
src/pages/profilePage/EditProfilePage.jsx,0,479,41,21,11
src/pages/pfePage/pfeSoutenance/EnseignantPage.jsx,0,154,25,13,8
src/pages/ErrorPage.jsx,0,29,4,0,2
src/pages/pfePage/pfeSoutenance/EtudiantSoutenancePage.jsx,0,141,13,5,5
src/components/subjectsComponents/EvaluationForm.jsx,0,81,7,1,5
src/components/subjectsComponents/EvaluationList.jsx,0,196,37,23,15
src/pages/subjectsPage/EvaluationPage.jsx,0,158,34,21,17
src/components/Header.jsx,0,164,18,7,10
src/pages/homePage/Home.jsx,0,596,14,7,6
src/pages/homePage,0,596,14,7,6
src/utils/humanizeDate.js,0,22,8,9,1
src/components/ImportExcel,247,516,79,37,45
src/index.css,0,4,0,0,0
src/components/internshipComponents/InternshipCard.jsx,0,131,21,9,7
src/components/internshipComponents,0,747,103,49,29
src/pages/PlanningUpdate/InternshipPlanningUpdate.jsx,0,232,33,21,15
src/services/internshipServices,0,185,31,25,13
src/services/internshipServices/internshipStudentList.service.js,0,22,3,2,2
src/components/Layout.jsx,0,74,21,6,8
src/main.jsx,0,18,0,0,0
src/services/ManageUsersServices,32,425,118,65,33
src/components/pfaComponents/manualAssignment.jsx,0,130,21,4,15
src/services/matieresServices/matieres.service.js,0,287,104,72,22
src/services/matieresServices,0,287,104,72,22
src/services/configs/menuHandler.js,0,526,16,4,6
src/components/skillsComponents/REComponents/MSDropdown.jsx,0,151,32,11,21
